SEQ='BE'     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  22527951.3   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   132190.0 

   LS RESOLVED TERM INDEXING            BWNR=  24195433.6   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   176     2    2P1 7F1             (1)3( 3.0)  1689423.7*
   177     2    2P1 7F1             (3)3(10.0)  1689506.3*
   178     2    2P1 7P1             (1)0( 0.0)  1689738.3*
   179     2    2P1 7F1             (3)4(13.0)  1689817.1*
   180     2    2P1 7G1             (3)3(10.0)  1689845.0*
   181     2    2P1 7G1             (1)3( 3.0)  1689845.0*
   182     2    2P1 7G1             (3)4(13.0)  1689845.0*
   183     2    2P1 7G1             (1)4( 4.0)  1689845.0*
   184     2    2P1 7G1             (3)5(16.0)  1689845.0*
   185     2    2P1 7G1             (1)5( 5.0)  1689845.0*
   186     2    2P1 7H1             (3)4(13.0)  1689888.5*
   187     2    2P1 7H1             (1)4( 4.0)  1689888.5*
   188     2    2P1 7H1             (3)5(16.0)  1689888.5*
   189     2    2P1 7H1             (1)5( 5.0)  1689888.5*
   190     2    2P1 7H1             (3)6(19.0)  1689888.5*
   191     2    2P1 7H1             (1)6( 6.0)  1689888.5*
   192     2    2P1 7I1             (3)5(16.0)  1689908.0*
   193     2    2P1 7I1             (1)5( 5.0)  1689908.0*
   194     2    2P1 7I1             (3)6(19.0)  1689908.0*
   195     2    2P1 7I1             (1)6( 6.0)  1689908.0*
   196     2    2P1 7I1             (3)7(22.0)  1689908.0*
   197     2    2P1 7I1             (1)7( 7.0)  1689908.0*
   198     2    2P1 7F1             (3)2( 7.0)  1690099.4*
   199     2    2P1 7F1             (1)4( 4.0)  1690213.7*
   200     2    2P1 7F1             (1)2( 2.0)  1690316.7*
   201     2    2P1 7D1             (1)1( 1.0)  1690643.0*
   202     2    2P1 7D1             (1)3( 3.0)  1690713.2*
   203     2    2P1 8S1             (3)1( 4.0)  1711799.8*
   204     2    2P1 8S1             (1)1( 1.0)  1712168.1*
   205     2    2P1 8P1             (1)1( 1.0)  1713254.8*
   206     2    2P1 8P1             (3)2( 7.0)  1713477.1*
   207     2    2P1 8P1             (3)0( 1.0)  1713810.5*
   208     2    2P1 8P1             (3)1( 4.0)  1714132.1*
   209     2    2P1 8D1             (1)2( 2.0)  1714635.1*
   210     2    2P1 8D1             (3)3(10.0)  1714671.4*
   211     2    2P1 8P1             (1)2( 2.0)  1714679.4*
   212     2    2P1 8D1             (3)2( 7.0)  1715170.6*
   213     2    2P1 8D1             (3)1( 4.0)  1715286.5*
   214     2    2P1 8F1             (1)3( 3.0)  1715311.8*
   215     2    2P1 8F1             (3)3(10.0)  1715368.7*
   216     2    2P1 8P1             (1)0( 0.0)  1715500.3*
   217     2    2P1 8F1             (3)4(13.0)  1715569.1*
   218     2    2P1 8G1             (3)3(10.0)  1715594.4*
   219     2    2P1 8G1             (1)3( 3.0)  1715594.4*
   220     2    2P1 8G1             (3)4(13.0)  1715594.4*
   221     2    2P1 8G1             (1)4( 4.0)  1715594.4*
   222     2    2P1 8G1             (3)5(16.0)  1715594.4*
   223     2    2P1 8G1             (1)5( 5.0)  1715594.4*
   224     2    2P1 8H1             (3)4(13.0)  1715623.5*
   225     2    2P1 8H1             (1)4( 4.0)  1715623.5*
   226     2    2P1 8H1             (3)5(16.0)  1715623.5*
   227     2    2P1 8H1             (1)5( 5.0)  1715623.5*
   228     2    2P1 8H1             (3)6(19.0)  1715623.5*
   229     2    2P1 8H1             (1)6( 6.0)  1715623.5*
   230     2    2P1 8I1             (3)5(16.0)  1715636.5*
   231     2    2P1 8I1             (1)5( 5.0)  1715636.5*
   232     2    2P1 8I1             (3)6(19.0)  1715636.5*
   233     2    2P1 8I1             (1)6( 6.0)  1715636.5*
   234     2    2P1 8I1             (3)7(22.0)  1715636.5*
   235     2    2P1 8I1             (1)7( 7.0)  1715636.5*
   236     2    2P1 8J1             (3)6(19.0)  1715643.2*
   237     2    2P1 8J1             (1)6( 6.0)  1715643.2*
   238     2    2P1 8J1             (3)7(22.0)  1715643.2*
   239     2    2P1 8J1             (1)7( 7.0)  1715643.2*
   240     2    2P1 8J1             (3)8(25.0)  1715643.2*
   241     2    2P1 8J1             (1)8( 8.0)  1715643.2*
   242     2    2P1 8F1             (3)2( 7.0)  1715758.7*
   243     2    2P1 8F1             (1)4( 4.0)  1715842.4*
   244     2    2P1 8F1             (1)2( 2.0)  1715908.7*
   245     2    2P1 8D1             (1)1( 1.0)  1716114.1*
   246     2    2P1 8D1             (1)3( 3.0)  1716159.6*

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   IREP    N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------------
 PRTI= 1  TRMPRT= (2S)  SPNPRT= 2

   INDX TE=  4.90E+02  9.80E+02  2.45E+03  4.90E+03  9.80E+03  2.45E+04  4.90E+04  9.80E+04  2.45E+05  4.90E+05
   ---- ---  9.80E+05  2.45E+06  4.90E+06  9.80E+06  2.45E+07  4.90E+07  9.80E+07  2.45E+08  4.90E+08
     1       3.20E-12  2.26E-12  1.43E-12  1.01E-12  7.16E-13  4.53E-13  3.21E-13  2.27E-13  1.44E-13  1.02E-13
             7.21E-14  4.42E-14  2.91E-14  1.81E-14  8.71E-15  4.59E-15  2.26E-15  8.00E-16  3.42E-16
     2       1.85E-11  1.31E-11  8.26E-12  5.83E-12  4.11E-12  2.58E-12  1.81E-12  1.25E-12  7.45E-13  4.84E-13
