SEQ='O '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  27239297.0   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)    44495.0 
     3          2S2 2P3             (2)1( 2.5)    62597.4 

   LS RESOLVED TERM INDEXING            BWNR=  27737598.3   NTRM= 503
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   210     2    2S2 2P3 6D1         (1)1( 1.0)   514773.5*
   211     2    2S2 2P3 6D1         (3)1( 4.0)   514905.5*
   212     2    2S2 2P3 6D1         (3)0( 1.0)   515046.0*
   213     2    2S2 2P3 6D1         (1)2( 2.0)   515170.4*
   214     2    2S2 2P3 6G1         (3)2( 7.0)   515243.0*
   215     2    2S2 2P3 6G1         (1)2( 2.0)   515243.0*
   216     2    2S2 2P3 6G1         (3)3(10.0)   515243.0*
   217     2    2S2 2P3 6G1         (1)3( 3.0)   515243.0*
   218     2    2S2 2P3 6G1         (3)4(13.0)   515243.0*
   219     2    2S2 2P3 6G1         (1)4( 4.0)   515243.0*
   220     2    2S2 2P3 6G1         (3)5(16.0)   515243.0*
   221     2    2S2 2P3 6G1         (1)5( 5.0)   515243.0*
   222     2    2S2 2P3 6G1         (3)6(19.0)   515243.0*
   223     2    2S2 2P3 6G1         (1)6( 6.0)   515243.0*
   224     2    2S2 2P3 6H1         (3)3(10.0)   515300.7*
   225     2    2S2 2P3 6H1         (1)3( 3.0)   515300.7*
   226     2    2S2 2P3 6H1         (3)4(13.0)   515300.7*
   227     2    2S2 2P3 6H1         (1)4( 4.0)   515300.7*
   228     2    2S2 2P3 6H1         (3)5(16.0)   515300.7*
   229     2    2S2 2P3 6H1         (1)5( 5.0)   515300.7*
   230     2    2S2 2P3 6H1         (3)6(19.0)   515300.7*
   231     2    2S2 2P3 6H1         (1)6( 6.0)   515300.7*
   232     2    2S2 2P3 6H1         (3)7(22.0)   515300.7*
   233     2    2S2 2P3 6H1         (1)7( 7.0)   515300.7*
   234     2    2S2 2P3 6D1         (1)3( 3.0)   515314.5*
   235     2    2S2 2P3 6F1         (3)4(13.0)   515335.1*
   236     2    2S2 2P3 6F1         (3)5(16.0)   515338.2*
   237     2    2S2 2P3 6F1         (3)3(10.0)   515338.6*
