SEQ='B '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  24195433.6   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   114537.9 
     3          2S1 2P1             (1)1( 1.0)   226224.4*
     4          2P2                 (3)1( 4.0)   294287.6*
     5          2P2                 (1)2( 2.0)   329531.4*
     6          2P2                 (1)0( 0.0)   406862.2*

   LS RESOLVED TERM INDEXING            BWNR=  25455599.3   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     9       6.86E-12  4.85E-12  3.06E-12  2.16E-12  1.51E-12  9.37E-13  6.41E-13  4.27E-13  2.32E-13  1.35E-13
             7.24E-14  2.77E-14  1.22E-14  4.99E-15  1.42E-15  5.27E-16  1.91E-16  4.93E-17  1.76E-17
    25       6.36E-13  4.50E-13  2.85E-13  2.01E-13  1.43E-13  9.05E-14  6.43E-14  4.59E-14  2.95E-14  2.12E-14
             1.51E-14  9.44E-15  6.37E-15  4.08E-15  2.04E-15  1.11E-15  5.63E-16  2.07E-16  9.04E-17
    27       2.71E-12  1.91E-12  1.21E-12  8.55E-13  6.05E-13  3.82E-13  2.69E-13  1.88E-13  1.15E-13  7.73E-14
             4.93E-14  2.46E-14  1.32E-14  6.56E-15  2.30E-15  9.61E-16  3.82E-16  1.06E-16  3.91E-17
    30       4.09E-12  2.89E-12  1.82E-12  1.28E-12  9.02E-13  5.59E-13  3.83E-13  2.55E-13  1.39E-13  8.11E-14
             4.35E-14  1.66E-14  7.30E-15  2.99E-15  8.50E-16  3.15E-16  1.15E-16  2.95E-17  1.05E-17
    31       2.64E-12  1.86E-12  1.17E-12  8.23E-13  5.72E-13  3.45E-13  2.27E-13  1.42E-13  6.77E-14  3.47E-14
             1.62E-14  5.18E-15  2.03E-15  7.65E-16  2.02E-16  7.24E-17  2.58E-17  6.56E-18  2.32E-18
    35       2.62E-17  1.86E-17  1.18E-17  8.46E-18  6.12E-18  4.13E-18  3.23E-18  2.72E-18  2.46E-18  2.37E-18
             2.17E-18  1.60E-18  1.07E-18  6.18E-19  2.47E-19  1.10E-19  4.55E-20  1.31E-20  4.88E-21
    36       3.25E-13  2.30E-13  1.45E-13  1.03E-13  7.29E-14  4.63E-14  3.29E-14  2.35E-14  1.51E-14  1.08E-14
             7.64E-15  4.73E-15  3.17E-15  2.02E-15  1.01E-15  5.49E-16  2.78E-16  1.02E-16  4.45E-17
    38       1.41E-12  9.94E-13  6.29E-13  4.45E-13  3.14E-13  1.98E-13  1.40E-13  9.80E-14  6.00E-14  4.01E-14
             2.55E-14  1.27E-14  6.81E-15  3.36E-15  1.18E-15  4.91E-16  1.95E-16  5.42E-17  2.00E-17
    40       2.43E-12  1.71E-12  1.08E-12  7.62E-13  5.35E-13  3.32E-13  2.27E-13  1.51E-13  8.24E-14  4.80E-14
             2.57E-14  9.82E-15  4.30E-15  1.76E-15  5.00E-16  1.86E-16  6.74E-17  1.74E-17  6.18E-18
    42       2.33E-12  1.64E-12  1.03E-12  7.24E-13  5.04E-13  3.04E-13  2.00E-13  1.25E-13  5.96E-14  3.06E-14
             1.42E-14  4.55E-15  1.79E-15  6.71E-16  1.77E-16  6.35E-17  2.26E-17  5.75E-18  2.04E-18
    43       1.25E-12  8.78E-13  5.50E-13  3.83E-13  2.63E-13  1.53E-13  9.57E-14  5.56E-14  2.34E-14  1.08E-14
             4.58E-15  1.33E-15  4.96E-16  1.80E-16  4.65E-17  1.65E-17  5.87E-18  1.49E-18  5.26E-19
    50       3.87E-18  2.74E-18  1.75E-18  1.26E-18  9.24E-19  6.48E-19  5.37E-19  4.99E-19  5.40E-19  5.94E-19
             6.01E-19  4.84E-19  3.36E-19  1.99E-19  8.12E-20  3.65E-20  1.52E-20  4.38E-21  1.64E-21
    54       1.05E-17  7.43E-18  4.74E-18  3.40E-18  2.48E-18  1.70E-18  1.36E-18  1.16E-18  1.01E-18  8.72E-19
             6.66E-19  3.67E-19  1.95E-19  9.11E-20  2.88E-20  1.12E-20  4.16E-21  1.09E-21  3.90E-22
    63       1.12E-18  7.93E-19  5.08E-19  3.67E-19  2.71E-19  1.95E-19  1.68E-19  1.70E-19  2.24E-19  3.02E-19
             3.89E-19  4.48E-19  4.16E-19  3.33E-19  2.00E-19  1.19E-19  6.36E-20  2.44E-20  1.09E-20
    64       1.92E-13  1.35E-13  8.57E-14  6.06E-14  4.29E-14  2.73E-14  1.94E-14  1.38E-14  8.81E-15  6.26E-15
