SEQ='N '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  26463393.1   NPRNTI= 4   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   284     4    2S1 2P3 5S1         (4)0( 1.5)   768127.5 
   285     2    2S2 2P2 7D1         (2)3( 6.5)   770404.3 
   286     2    2S2 2P2 7D1         (2)4( 8.5)   770424.3 
   287     2    2S2 2P2 7D1         (2)2( 4.5)   770604.1 
   288     2    2S2 2P2 7D1         (2)1( 2.5)   770856.9 
   289     2    2S2 2P2 7D1         (2)0( 0.5)   771011.2 
   290     2    2S2 2P2 7F1         (2)4( 8.5)   771226.9 
   291     2    2S2 2P2 7F1         (2)3( 6.5)   771260.7 
   292     2    2S2 2P2 7G1         (2)2( 4.5)   771289.9 
   293     2    2S2 2P2 7G1         (2)3( 6.5)   771289.9 
   294     2    2S2 2P2 7G1         (2)4( 8.5)   771289.9 
   295     2    2S2 2P2 7G1         (2)5(10.5)   771289.9 
   296     2    2S2 2P2 7G1         (2)6(12.5)   771289.9 
   297     2    2S2 2P2 7H1         (2)3( 6.5)   771336.4 
   298     2    2S2 2P2 7H1         (2)4( 8.5)   771336.4 
   299     2    2S2 2P2 7H1         (2)5(10.5)   771336.4 
   300     2    2S2 2P2 7H1         (2)6(12.5)   771336.4 
   301     2    2S2 2P2 7H1         (2)7(14.5)   771336.4 
   302     2    2S2 2P2 7I1         (2)4( 8.5)   771357.2 
   303     2    2S2 2P2 7I1         (2)5(10.5)   771357.2 
   304     2    2S2 2P2 7I1         (2)6(12.5)   771357.2 
   305     2    2S2 2P2 7I1         (2)7(14.5)   771357.2 
   306     2    2S2 2P2 7I1         (2)8(16.5)   771357.2 
   307     2    2S2 2P2 7F1         (2)2( 4.5)   771389.4 
   308     2    2S2 2P2 7F1         (2)5(10.5)   771401.4 
   309     2    2S2 2P2 7F1         (2)1( 2.5)   771523.0 
   310     4    2S1 2P3 5P1         (6)1( 8.5)   772194.3 
   311     2    2S2 2P2 8S1         (2)2( 4.5)   775518.2 
   312     4    2S1 2P3 5P1         (4)1( 5.5)   775691.3 
   313     3    2S2 2P2 6S1         (2)0( 0.5)   776377.7*
   314     2    2S2 2P2 8P1         (2)3( 6.5)   777121.8*
   315     2    2S2 2P2 8P1         (2)2( 4.5)   777364.6*
   316     2    2S2 2P2 8P1         (2)1( 2.5)   777500.5*
   317     2    2S2 2P2 8D1         (2)3( 6.5)   779122.6*
   318     2    2S2 2P2 8D1         (2)4( 8.5)   779135.4*
   319     2    2S2 2P2 8D1         (2)2( 4.5)   779257.2*
   320     2    2S2 2P2 8D1         (2)1( 2.5)   779423.3*
   321     2    2S2 2P2 8D1         (2)0( 0.5)   779525.6*
   322     2    2S2 2P2 8F1         (2)4( 8.5)   779676.2*
   323     2    2S2 2P2 8F1         (2)3( 6.5)   779699.2*
   324     2    2S2 2P2 8G1         (2)2( 4.5)   779719.9*
   325     2    2S2 2P2 8G1         (2)3( 6.5)   779719.9*
   326     2    2S2 2P2 8G1         (2)4( 8.5)   779719.9*
   327     2    2S2 2P2 8G1         (2)5(10.5)   779719.9*
   328     2    2S2 2P2 8G1         (2)6(12.5)   779719.9*
   329     2    2S2 2P2 8H1         (2)3( 6.5)   779751.0*
   330     2    2S2 2P2 8H1         (2)4( 8.5)   779751.0*
   331     2    2S2 2P2 8H1         (2)5(10.5)   779751.0*
   332     2    2S2 2P2 8H1         (2)6(12.5)   779751.0*
   333     2    2S2 2P2 8H1         (2)7(14.5)   779751.0*
   334     2    2S2 2P2 8I1         (2)4( 8.5)   779764.9*
   335     2    2S2 2P2 8I1         (2)5(10.5)   779764.9*
   336     2    2S2 2P2 8I1         (2)6(12.5)   779764.9*
   337     2    2S2 2P2 8I1         (2)7(14.5)   779764.9*
   338     2    2S2 2P2 8I1         (2)8(16.5)   779764.9*
   339     2    2S2 2P2 8J1         (2)5(10.5)   779772.0*
   340     2    2S2 2P2 8J1         (2)6(12.5)   779772.0*
   341     2    2S2 2P2 8J1         (2)7(14.5)   779772.0*
   342     2    2S2 2P2 8J1         (2)8(16.5)   779772.0*
   343     2    2S2 2P2 8J1         (2)9(18.5)   779772.0*
   344     2    2S2 2P2 8F1         (2)2( 4.5)   779784.8*
   345     2    2S2 2P2 8F1         (2)5(10.5)   779792.1*
   346     2    2S2 2P2 8F1         (2)1( 2.5)   779873.8*
   347     3    2S2 2P2 6P1         (2)1( 2.5)   780789.9*
   348     4    2S1 2P3 5D1         (6)2(14.5)   781066.8*
   349     6    2S1 2P3 3D1         (4)2( 9.5)   781661.5*
   350     4    2S1 2P3 5D1         (4)2( 9.5)   783845.9*
   351     4    2S1 2P3 5G1         (6)4(26.5)   784163.8*
   352     4    2S1 2P3 5G1         (4)4(17.5)   784163.8*
   353     4    2S1 2P3 5F1         (6)3(20.5)   784268.3*
   354     4    2S1 2P3 5F1         (4)3(13.5)   784410.3*
   355     3    2S2 2P2 6D1         (2)2( 4.5)   785572.8*
   356     3    2S2 2P2 6G1         (2)4( 8.5)   786759.4*
   357     3    2S2 2P2 6H1         (2)5(10.5)   786833.3*
   358     3    2S2 2P2 6F1         (2)3( 6.5)   786843.9*
   359     3    2S2 2P2 7S1         (2)0( 0.5)   793381.7*
   360     4    2S1 2P3 6S1         (6)0( 2.5)   794896.4*
   361     3    2S2 2P2 7P1         (2)1( 2.5)   796063.1*
   362     4    2S1 2P3 6S1         (4)0( 1.5)   796729.6*
   363     3    2S2 2P2 7D1         (2)2( 4.5)   798996.8*
   364     4    2S1 2P3 6P1         (6)1( 8.5)   799035.9*
   365     3    2S2 2P2 7G1         (2)4( 8.5)   799755.4*
   366     3    2S2 2P2 7H1         (2)5(10.5)   799802.0*
   367     3    2S2 2P2 7F1         (2)3( 6.5)   799803.8*
   368     3    2S2 2P2 7I1         (2)6(12.5)   799822.7*
   369     4    2S1 2P3 6P1         (4)1( 5.5)   800950.3*
   370     4    2S1 2P3 6D1         (6)2(14.5)   803913.5*
   371     8    2S1 2P3 3P1         (4)1( 5.5)   803991.4*
   372     3    2S2 2P2 8S1         (2)0( 0.5)   803993.0*
   373     4    2S1 2P3 6D1         (4)2( 9.5)   805530.3*
   374     4    2S1 2P3 6G1         (6)4(26.5)   805734.7*
   375     4    2S1 2P3 6G1         (4)4(17.5)   805734.7*
   376     3    2S2 2P2 8P1         (2)1( 2.5)   805743.3*
   377     4    2S1 2P3 6F1         (6)3(20.5)   805778.5*
   378     4    2S1 2P3 6H1         (6)5(32.5)   805808.6*
   379     4    2S1 2P3 6H1         (4)5(21.5)   805808.6*
   380     4    2S1 2P3 6F1         (4)3(13.5)   805874.7*
   381     3    2S2 2P2 8D1         (2)2( 4.5)   807672.7*
   382     3    2S2 2P2 8G1         (2)4( 8.5)   808185.4*
   383     3    2S2 2P2 8F1         (2)3( 6.5)   808215.7*
   384     3    2S2 2P2 8H1         (2)5(10.5)   808216.6*
   385     3    2S2 2P2 8I1         (2)6(12.5)   808230.5*
   386     3    2S2 2P2 8J1         (2)7(14.5)   808237.6*
   387     4    2S1 2P3 7S1         (6)0( 2.5)   812085.1*
   388     4    2S1 2P3 7S1         (4)0( 1.5)   813176.7*
   389     4    2S1 2P3 7P1         (6)1( 8.5)   814602.2*
   390     4    2S1 2P3 7P1         (4)1( 5.5)   815763.7*
   391     4    2S1 2P3 7D1         (6)2(14.5)   817575.0*
   392     4    2S1 2P3 7D1         (4)2( 9.5)   818594.0*
   393     4    2S1 2P3 7G1         (6)4(26.5)   818730.7*
