SEQ='F '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  27733664.6   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)    28403.2 
     3          2S2 2P4             (1)0( 0.0)    55370.5 

   LS RESOLVED TERM INDEXING            BWNR=  28053719.0   NTRM= 338
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   269     2    2S2 2P4 7I1         (2)4( 8.5)   339485.4*
   270     2    2S2 2P4 7I1         (2)5(10.5)   339485.4*
   271     2    2S2 2P4 7I1         (2)6(12.5)   339485.4*
   272     2    2S2 2P4 7I1         (2)7(14.5)   339485.4*
   273     2    2S2 2P4 7I1         (2)8(16.5)   339485.4*
   274     2    2S2 2P4 7F1         (2)2( 4.5)   339490.6*
   275     2    2S2 2P4 7F1         (2)3( 6.5)   339511.6*
   276     2    2S2 2P4 7F1         (2)4( 8.5)   339516.4*
   277     2    2S2 2P4 8S1         (2)2( 4.5)   339625.3*
   278     2    2S2 2P4 8P1         (2)3( 6.5)   340369.4*
   279     2    2S2 2P4 8P1         (2)2( 4.5)   340445.4*
   280     2    2S2 2P4 8P1         (2)1( 2.5)   340590.2*
   281     2    2S2 2P4 8D1         (2)0( 0.5)   341503.2*
   282     2    2S2 2P4 8D1         (2)4( 8.5)   341508.8*
   283     2    2S2 2P4 8D1         (2)1( 2.5)   341525.7*
   284     2    2S2 2P4 8D1         (2)2( 4.5)   341556.0*
   285     2    2S2 2P4 8D1         (2)3( 6.5)   341564.9*
   286     2    2S2 2P4 8G1         (2)2( 4.5)   341567.7*
   287     2    2S2 2P4 8G1         (2)3( 6.5)   341567.7*
   288     2    2S2 2P4 8G1         (2)4( 8.5)   341567.7*
   289     2    2S2 2P4 8G1         (2)5(10.5)   341567.7*
   290     2    2S2 2P4 8G1         (2)6(12.5)   341567.7*
   291     2    2S2 2P4 8F1         (2)1( 2.5)   341578.1*
