SEQ='C '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  25455599.3   NPRNTI= 2   NPRNTF= 7
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   274     2    2S1 2P2 6P1         (3)1( 4.0)  1025670.2*
   275     2    2S1 2P2 6D1         (5)3(17.0)  1027475.9*
   276     2    2S1 2P2 6D1         (5)2(12.0)  1027964.4*
   277     2    2S1 2P2 6D1         (5)1( 7.0)  1028586.9*
   278     2    2S1 2P2 6D1         (3)1( 4.0)  1028818.0*
   279     2    2S1 2P2 6D1         (3)3(10.0)  1029768.1*
   280     2    2S1 2P2 6F1         (5)2(12.0)  1030064.7*
   281     2    2S1 2P2 6F1         (5)4(22.0)  1030118.1*
   282     2    2S1 2P2 6F1         (3)2( 7.0)  1030144.0*
   283     2    2S1 2P2 6G1         (5)3(17.0)  1030286.1*
   284     2    2S1 2P2 6G1         (3)3(10.0)  1030286.1*
   285     2    2S1 2P2 6G1         (5)4(22.0)  1030286.1*
   286     2    2S1 2P2 6G1         (3)4(13.0)  1030286.1*
   287     2    2S1 2P2 6G1         (5)5(27.0)  1030286.1*
   288     2    2S1 2P2 6G1         (3)5(16.0)  1030286.1*
   289     2    2S1 2P2 6F1         (3)4(13.0)  1030329.0*
   290     2    2S1 2P2 6H1         (5)4(22.0)  1030368.0*
   291     2    2S1 2P2 6H1         (3)4(13.0)  1030368.0*
   292     2    2S1 2P2 6H1         (5)5(27.0)  1030368.0*
   293     2    2S1 2P2 6H1         (3)5(16.0)  1030368.0*
   294     2    2S1 2P2 6H1         (5)6(32.0)  1030368.0*
   295     2    2S1 2P2 6H1         (3)6(19.0)  1030368.0*
   296     2    2S1 2P2 6F1         (5)3(17.0)  1030516.4*
   297     2    2S1 2P2 6D1         (3)2( 7.0)  1030676.1*
   298     2    2S1 2P2 6F1         (3)3(10.0)  1030775.7*
   299     2    2S1 2P2 7S1         (5)1( 7.0)  1043150.4*
   300     2    2S1 2P2 7S1         (3)1( 4.0)  1044337.9*
   301     2    2S1 2P2 7P1         (5)2(12.0)  1045961.1*
   302     2    2S1 2P2 7P1         (3)0( 1.0)  1046041.3*
   303     2    2S1 2P2 7P1         (5)1( 7.0)  1046173.8*
   304     2    2S1 2P2 7P1         (3)2( 7.0)  1047243.3*
