	iz	LowerstatenameImpZeff	UpperstatenameImpZeff	rate(s-1)	Acc	E_i(cm-1)	E_k(cm-1)	Lowerconf	Lowerterm	LowerJ	Upperconf	Upperterm	UpperJ
110	0	2s2,2p2 3P	2s2,2p(2P^3/2)7d1 2[1/2]	5.80E+06	C+	43.4134567	88646.9	2s22p2	3P	2	2s22p(2P^3/2)7d	2[1/2]^0	1
111	0	2s2,2p2 3P	2s2,2p(2P^3/2)8s1 2[3/2]	4.80E+06	C+	16.416713	88615.02	2s22p2	3P	1	2s22p(2P^3/2)8s	2[3/2]^0	1
112	0	2s2,2p2 3P	2s2,2p(2P^3/2)7d1 2[3/2]	1.02E+07	B	43.4134567	88639.1	2s22p2	3P	2	2s22p(2P^3/2)7d	2[3/2]^0	2
113	0	2s2,2p2 3P	2s2,2p(2P^3/2)7d1 2[3/2]	2.40E+04	D	43.4134567	88638.99	2s22p2	3P	2	2s22p(2P^3/2)7d	2[3/2]^0	1
114	0	2s2,2p2 3P	2s2,2p(2P^3/2)7d1 2[5/2]	1.61E+07	B	16.416713	88604.76	2s22p2	3P	1	2s22p(2P^3/2)7d	2[5/2]^0	2
115	0	2s2,2p2 3P	2s2,2p(2P^3/2)7d1 2[7/2]	4.00E+06	C	43.4134567	88625.02	2s22p2	3P	2	2s22p(2P^3/2)7d	2[7/2]^0	3
116	0	2s2,2p2 3P	2s2,2p(2P^3/2)8s1 2[3/2]	1.80E+06	C+	43.4134567	88615.02	2s22p2	3P	2	2s22p(2P^3/2)8s	2[3/2]^0	1
117	0	2s2,2p2 3P	2s2,2p(2P^3/2)8s1 2[3/2]	9.90E+05	C	16.416713	88584.28	2s22p2	3P	1	2s22p(2P^3/2)8s	2[3/2]^0	2
118	0	2s2,2p2 3P	2s2,2p(2P^3/2)7d1 2[5/2]	1.70E+07	B	43.4134567	88606.32	2s22p2	3P	2	2s22p(2P^3/2)7d	2[5/2]^0	3
119	0	2s2,2p2 3P	2s2,2p(2P^3/2)7d1 2[5/2]	5.00E+05	C	43.4134567	88604.76	2s22p2	3P	2	2s22p(2P^3/2)7d	2[5/2]^0	2
120	0	2s2,2p2 3P	2s2,2p(2P^1/2)7d1 2[3/2]	1.35E+07	B	0	88558.62	2s22p2	3P	0	2s22p(2P^1/2)7d	2[3/2]^0	1
121	0	2s2,2p2 3P	2s2,2p(2P^1/2)8s1 2[1/2]	3.50E+06	C+	0	88549.095	2s22p2	3P	0	2s22p(2P^1/2)8s	2[1/2]^0	1
122	0	2s2,2p2 3P	2s2,2p(2P^1/2)7d1 2[3/2]	4.90E+06	C+	16.416713	88558.62	2s22p2	3P	1	2s22p(2P^1/2)7d	2[3/2]^0	1
123	0	2s2,2p2 3P	2s2,2p(2P^3/2)8s1 2[3/2]	1.19E+07	B	43.4134567	88584.28	2s22p2	3P	2	2s22p(2P^3/2)8s	2[3/2]^0	2
124	0	2s2,2p2 3P	2s2,2p(2P^1/2)8s1 2[1/2]	7.20E+05	C	16.416713	88549.095	2s22p2	3P	1	2s22p(2P^1/2)8s	2[1/2]^0	1
125	0	2s2,2p2 3P	2s2,2p(2P^1/2)8s1 2[1/2]	6.40E+06	C+	16.416713	88543.78	2s22p2	3P	1	2s22p(2P^1/2)8s	2[1/2]^0	0
126	0	2s2,2p2 3P	2s2,2p(2P^1/2)7d1 2[3/2]	7.30E+06	C+	16.416713	88543.5	2s22p2	3P	1	2s22p(2P^1/2)7d	2[3/2]^0	2
127	0	2s2,2p2 3P	2s2,2p(2P^1/2)7d1 2[3/2]	5.00E+03	D	43.4134567	88558.62	2s22p2	3P	2	2s22p(2P^1/2)7d	2[3/2]^0	1
128	0	2s2,2p2 3P	2s2,2p(2P^1/2)8s1 2[1/2]	2.20E+06	C+	43.4134567	88549.095	2s22p2	3P	2	2s22p(2P^1/2)8s	2[1/2]^0	1
129	0	2s2,2p2 3P	2s2,2p(2P^1/2)7d1 2[5/2]	4.80E+06	C+	43.4134567	88545.02	2s22p2	3P	2	2s22p(2P^1/2)7d	2[5/2]^0	3
